t,s,attack_dos,x,y,xd,yd,x_dos,y_dos,mode,v_out,w_out
0.0,0.0,0,-2.4925,1.0,-2.5,1.0,-2.4925,1.0,main,0.15,0.0
0.05,0.00032142856307052273,0,-2.4850000000000003,1.0,-2.4977500000585064,1.0,-2.4850000000000003,1.0,main,0.15,0.0
0.1,0.0008678571349720423,0,-2.4775000000000005,1.0,-2.493925000055196,1.0,-2.4775000000000005,1.0,main,0.15,0.0
0.15000000000000002,0.001571785698373629,0,-2.4700000000000006,1.0,-2.4889975001113847,1.0,-2.4700000000000006,1.0,main,0.15,0.0
0.2,0.002385964270506893,0,-2.462500000000001,1.0,-2.4832982501064516,1.0,-2.462500000000001,1.0,main,0.15,0.0
0.25,0.0032773178340707006,0,-2.455000000000001,1.0,-2.477058775161505,1.0,-2.455000000000001,1.0,main,0.15,0.0
0.30000000000000004,0.00422269390631752,0,-2.447500000000001,1.0,-2.4704411426557775,1.0,-2.447500000000001,1.0,main,0.15,0.0
0.35000000000000003,0.005205885719960815,0,-2.4400000000000013,1.0,-2.4635587999602744,1.0,-2.4400000000000013,1.0,main,0.15,0.0
0.4,0.006215548567263276,0,-2.4325000000000014,1.0,-2.4564911600291572,1.0,-2.4325000000000014,1.0,main,0.15,0.0
0.45,0.007243741138127152,0,-2.4250000000000016,1.0,-2.44929381203311,1.0,-2.4250000000000016,1.0,main,0.15,0.0
0.5,0.008284904500802388,0,-2.4175000000000018,1.0,-2.4420056684943834,1.0,-2.4175000000000018,1.0,main,0.15,0.0
0.55,0.009335147432427207,0,-2.410000000000002,1.0,-2.4346539679730093,1.0,-2.410000000000002,1.0,main,0.15,0.0
0.6000000000000001,0.010391746047635103,0,-2.402500000000002,1.0,-2.4272577776665543,1.0,-2.402500000000002,1.0,main,0.15,0.0
0.65,0.011452793656032783,0,-2.3950000000000022,1.0,-2.4198304444077707,1.0,-2.3950000000000022,1.0,main,0.15,0.0
0.7000000000000001,0.012516955544981683,0,-2.3875000000000024,1.0,-2.4123813111851287,1.0,-2.3875000000000024,1.0,main,0.15,0.0
0.75,0.013583297444998066,0,-2.3800000000000026,1.0,-2.404916917885014,1.0,-2.3800000000000026,1.0,main,0.15,0.0
0.8,0.014651165352761689,0,-2.3725000000000027,1.0,-2.3974418425306685,1.0,-2.3725000000000027,1.0,main,0.15,0.0
0.8500000000000001,0.015720101451266746,0,-2.365000000000003,1.0,-2.389959289841133,1.0,-2.365000000000003,1.0,main,0.15,0.0
0.9,0.01678978529797244,0,-2.357500000000003,1.0,-2.382471502914193,1.0,-2.357500000000003,1.0,main,0.15,0.0
0.9500000000000001,0.01785999255373695,0,-2.350000000000003,1.0,-2.3749800521238416,1.0,-2.350000000000003,1.0,main,0.15,0.0
1.0,0.01893056621052426,0,-2.3425000000000034,1.0,-2.367486036526331,1.0,-2.3425000000000034,1.0,main,0.15,0.0
1.05,0.0200013963333459,0,-2.3350000000000035,1.0,-2.3599902256665795,1.0,-2.3350000000000035,1.0,main,0.15,0.0
1.1,0.021072405997073204,0,-2.3275000000000037,1.0,-2.352493158020488,1.0,-2.3275000000000037,1.0,main,0.15,0.0
1.1500000000000001,0.02214354133943447,0,-2.320000000000004,1.0,-2.344995210623959,1.0,-2.320000000000004,1.0,main,0.15,0.0
1.2000000000000002,0.023214764642157878,0,-2.312500000000004,1.0,-2.3374966475048953,1.0,-2.312500000000004,1.0,main,0.15,0.0
1.25,0.024286049531816414,0,-2.305000000000004,1.0,-2.3299976532772857,1.0,-2.305000000000004,1.0,main,0.15,0.0
1.3,0.025357377517647915,0,-2.2975000000000043,1.0,-2.3224983573764653,1.0,-2.2975000000000043,1.0,main,0.15,0.0
1.35,0.026428735685482117,0,-2.2900000000000045,1.0,-2.3149988502016257,1.0,-2.2900000000000045,1.0,main,0.15,0.0
1.4000000000000001,0.027500114966036583,0,-2.2825000000000046,1.0,-2.307499195237744,1.0,-2.2825000000000046,1.0,main,0.15,0.0
