t,mode,attack,s,x,y,x_ref,y_ref,ex,ey,eth,d_perp,r_eff,ct,kappa,v_out,w_out,v_main,w_main
0.0,main,0,0.0,-3.3973380467606074,2.052059022261181,-3.4025,2.0575,0.0,0.0,0.0,0.0,0.32,0.9999999999999999,-2.5137304913088276,0.15,-0.19999992043700743,0.15,-0.19999992043700743
0.0055654048919677734,main,0,0.0002825134901991784,-3.3923697273700797,2.046716141529597,-3.4009514140320674,2.05586770668245,-0.005249737508041201,-5.2499104176430625e-05,0.004345734125443368,2.9684716813893272e-05,0.32,0.9999905573123162,-2.5137304913088276,0.14591856917915083,-0.19569598224398313,0.14591856917915083,-0.19569598224398313
0.057430267333984375,main,0,0.0007550856205671154,-3.387573357673984,2.0414558881096148,-3.398361029518366,2.0531373013842242,-0.008781619218810998,-0.00010079288936374123,0.0046698147969634896,5.9783404039110213e-05,0.32,0.9999890964346957,-2.5137304913088276,0.14237335186622363,-0.19541032694790897,0.14237335186622363,-0.19541032694790897
0.10834217071533203,main,0,0.001354294470279949,-3.382907513622965,2.03623727331374,-3.3950764910849203,2.0496752203327544,-0.011128395285613032,-0.0001151153499600573,0.002442041686724572,8.793902852831034e-05,0.32,0.999997018217682,-2.5137304913088276,0.14000577287547886,-0.19764946138870182,0.14000577287547886,-0.19764946138870182
0.15952730178833008,main,0,0.002037374690458319,-3.3783458674198,2.0310325884096017,-3.3913322152162015,2.045728551173834,-0.012690689076547513,-7.976913560406047e-05,-0.0013522711426681155,9.693031005816952e-05,0.32,0.9999990856815176,-2.5137304913088276,0.13841583873851288,-0.2,0.13841583873851288,-0.2
0.20947599411010742,main,0,0.002776211402744621,-3.375789112165524,2.0280558839171032,-3.38736228020922,2.041387592606665,-0.013730011191996912,-9.275870876507188e-05,-0.004189544513883536,0.00015028021949265412,0.32,0.9999912238712199,-4.118417571540237,0.07847997723222944,-0.2,0.07847997723222944,-0.2
0.26003265380859375,main,0,0.0034412080753581146,-3.3732184285763536,2.0250016960624055,-3.3839144538850596,2.037367390594232,-0.012356245784949205,-0.00022028336152960393,-0.002686737649380877,0.00025348051728100573,0.32,0.999996390722573,-4.118417571540237,0.07984103598379921,-0.2,0.07984103598379921,-0.2
0.3100745677947998,main,0,0.004056916479425265,-3.3706497118128,2.021887152310479,-3.380722173786565,2.033645158187603,-0.011442548170630533,-0.0002893459042304994,-0.000554685532160093,0.0002956928753139231,0.32,0.9999998461619841,-4.118417571540237,0.08074326868297428,-0.2,0.08074326868297428,-0.2
0.3612387180328369,main,0,0.004639973742882081,-3.3680935046188925,2.018723857447482,-3.3776991809443024,2.030120316514786,-0.01083443384601744,-0.0003083035636548331,0.001995023704925547,0.0002866880120986053,0.32,0.9999980099408685,-4.118417571540237,0.08134034572940531,-0.19815463208595147,0.08134034572940531,-0.19815463208595147
0.4109070301055908,main,0,0.005201311545667031,-3.3634376210978236,2.012843997871077,-3.3748259742481057,2.0266959137574165,-0.010429355472047723,-0.00032920138929669676,0.006149754342511304,0.0002650575943767587,0.32,0.9999810903203596,-2.2684575401141065,0.15,-0.19414044395827648,0.15,-0.19414044395827648
0.4623863697052002,main,0,0.0058767542710214974,-3.3588390319594152,2.006919221256207,-3.371456461970637,2.0225025777293095,-0.012546704348967609,-0.0004125333937456529,0.012282887890243455,0.00025839638695079707,0.32,0.9999245662809313,-2.2684575401141065,0.15,-0.188081287684944,0.15,-0.188081287684944
0.512641429901123,main,0,0.006631977182719014,-3.3542963623204214,2.000951461831518,-3.367688958409392,2.017813944147223,-0.01402925032051635,-0.0004430806769848252,0.0176908744468518,0.0001948345836293424,0.32,0.9998435205617922,-2.2684575401141065,0.15,-0.18270143011094997,0.15,-0.18270143011094997
0.5628857612609863,main,0,0.007443122836176582,-3.3498083973727906,1.9949424543736398,-3.3636424787664194,2.0127781266529996,-0.015068208016029967,-0.00041109683466797244,0.02253403914406693,7.147361119291557e-05,0.32,0.999746119283224,-2.2684575401141065,0.15,-0.17783201902262402,0.15,-0.17783201902262402
0.6135928630828857,main,0,0.008293259860355897,-3.3453740388269186,1.9888937797843886,-3.359465628888544,2.0074493955193473,-0.0157965392264861,-0.0003937586026226793,0.038458213615291115,-0.00021388948987761947,0.16646112218657147,0.9992605740458562,0.5397657529237677,0.15,0.11881378250826631,0.15,0.11881378250826631
0.6633884906768799,main,0,0.009170441046587005,-3.3409038254450385,1.9828715549197344,-3.3551623346490826,2.00194605419346,-0.016314600327551963,-8.011556738965215e-05,0.04092986617998218,-0.0005875195109710752,0.1664681173358874,0.9991624899572056,0.5397657529237677,0.15,0.12175178061972286,0.15,0.12175178061972286
0.7145767211914062,main,0,0.010066640540156883,-3.336397034289546,1.9768766542966403,-3.3507595296952393,1.9963283715544533,-0.016678650556572604,0.00020841261864976146,0.04303780693178716,-0.0009258106000164055,0.23346619239857574,0.9990740165301141,1.2041029571473898,0.15,0.2,0.15,0.2
0.7644166946411133,main,0,0.010976232074919847,-3.331830520464648,1.9709271205765062,-3.346161357728552,1.9907305969863114,-0.016935122288533673,0.0006894732356093674,0.03303780693179803,-0.001248494515108293,0.2334281573630339,0.9994543012949717,1.2041029571473898,0.15,0.2,0.15,0.2
0.814445972442627,main,0,0.01189530547220735,-3.327204740617921,1.9650235487077463,-3.341515252999975,1.9850744694906521,-0.017109244219992176,0.001102400925286913,0.02303780693180979,-0.0014962329937358854,0.2334001185110367,0.9997346414625758,1.2041029571473898,0.15,0.2,0.15,0.2
0.865067720413208,main,0,0.012821095373141224,-3.3225201573234946,1.959166529042628,-3.3368351949664246,1.979377007536765,-0.017224420824368477,0.0014445617259253914,0.009101691794018762,-0.0016012710971906874,0.28422217425011204,0.9999585798891841,-1.7085032636562498,0.15,-0.1892079458623172,0.15,-0.1892079458623172
0.9161014556884766,main,0,0.013753753018826814,-3.317891192567008,1.9532654541165482,-3.3321204190730604,1.9736372803622344,-0.017310968142059947,0.00137769786189002,0.005871033363999967,-0.0014793068056612726,0.28421922826113355,0.9999827655331242,-1.7085032636562498,0.15,-0.19251665929655667,0.15,-0.19251665929655667
0.9667496681213379,main,0,0.01468910781953532,-3.313319244145436,1.9473200956218495,-3.3273920085072723,1.9678809544560578,-0.0173775506052683,0.0013780742600913755,0.0027689750818638004,-0.0014261869202146825,0.28421759593827506,0.9999961663909476,-1.7085032636562498,0.15,-0.19561821323967113,0.15,-0.19561821323967113
1.016880989074707,main,0,0.015628591225624298,-3.3108951772059987,1.9441032132302944,-3.3227683042091383,1.961999605202841,-0.017410171025551667,0.0012878984769429122,-0.002293737732019796,-0.00124796075779265,0.32,0.9999973693847617,-3.8556025544632697,0.08055912821765482,-0.2,0.08055912821765482,-0.2
1.0680654048919678,main,0,0.016437863408835848,-3.308432634684824,1.940766361685385,-3.3188494881178983,1.9568825964803427,-0.015005732043839795,0.0011881515741931515,-0.006134931160576507,-0.0010960706591802653,0.32,0.9999811813688513,-3.8556025544632697,0.08294261607004552,-0.2,0.08294261607004552,-0.2
1.1194796562194824,main,0,0.017160521017455153,-3.305957400256259,1.9373411441630914,-3.315350094064991,1.9523132496482176,-0.013410604584817003,0.0011565252146638356,-0.008494079106353247,-0.0010425741271785959,0.32,0.9999639255269641,-3.8556025544632697,0.08451958483424117,-0.2,0.08451958483424117,-0.2
1.1704261302947998,main,0,0.01782554949160179,-3.3016255183587573,1.931218661069926,-3.3122074190225113,1.9480514149301182,-0.012353039312922599,0.0010839991766242998,-0.005040343797789504,-0.0010217221056682702,0.32,0.9999872974940923,-2.146475061381485,0.15,-0.2,0.15,-0.2
1.2203285694122314,main,0,0.018573579326961156,-3.297355076864068,1.9250531660013661,-3.308791031299803,1.9431708610405352,-0.013905484502854257,0.0009149648007454074,0.004959656202215612,-0.0009839196872478547,0.32,0.9999877009303892,-2.146475061381485,0.15,-0.19418793293568826,0.15,-0.19418793293568826
1.2713053226470947,main,0,0.019379710227258817,-3.29314469895672,1.9188464987896239,-3.3051092854916972,1.9379112241718126,-0.014993844899722891,0.0008012655480170378,0.014669052849006103,-0.0010211169562663507,0.32,0.9998924113735306,-2.146475061381485,0.15,-0.18458551411937815,0.15,-0.18458551411937815
1.3217129707336426,main,0,0.020226484952427997,-3.290374746510967,1.9146809739756792,-3.3012419119750014,1.9323864048622468,-0.015758306208631705,0.0007547851044349997,0.019325838853851973,-0.0010591676868030708,0.32,0.9998132617884469,-3.256814445014592,0.10004845531505357,-0.1802131384177991,0.10004845531505357,-0.1802131384177991
1.3712940216064453,main,0,0.021010494675500046,-3.2876089543066103,1.910439305061351,-3.297661197589324,1.9272710985969934,-0.01452604099357805,0.0007731366958071556,0.008000815203861755,-0.0008893308802253629,0.32,0.9999679936487726,-3.256814445014592,0.10127460036249729,-0.19152461882488023,0.10127460036249729,-0.19152461882488023
1.4217395782470703,main,0,0.021749946094764418,-3.2848625135290717,1.9061378380054101,-3.2942839890464324,1.9224465149642904,-0.013712435709329444,0.0008356346980491593,-0.0016089335158619988,-0.0008135712285812433,0.32,0.9999987056667501,-3.256814445014592,0.10206969340185676,-0.2,0.10206969340185676,-0.2
1.4727978706359863,dt,1,0.022459753717968992,-3.2821592240260795,1.901809122070992,-3.291042169088495,1.9178153435958083,-0.013178055167565506,0.0009440029912501681,-0.010017927132915716,-0.0008119410338550594,0.32,0.999949820987641,-3.256814445014592,0.10206969340185676,-0.2,0.10257763771478173,-0.2
1.523902177810669,dt,1,0.023148844389422284,-3.280701164612247,1.8994215507369614,-3.2881516541454126,1.913151821304502,-0.01280351869455914,0.0007974670369560845,-0.005837812418523658,-0.0007227093322479412,0.32,0.9999829600214768,-3.958109607286951,0.055951529485263975,-0.2,0.08244589305617306,-0.2
1.5748636722564697,dt,1,0.023736985793888866,-3.2799602594548305,1.8981805882998306,-3.28572050755879,1.9091480468067146,-0.01092433182678544,0.0006763900858366952,0.0008799445763258973,-0.0006860026292718896,0.32,0.9999996128487962,-3.958109607286951,0.02890625,-0.2,0.08432640108278809,-0.19877827188331007
1.6254065036773682,dt,1,0.024203126324847404,-3.279098906268267,1.8967045468769732,-3.2837936648775576,1.9059747936467373,-0.008663909479305279,0.0006175003312926162,0.00827854264021477,-0.000689202896240131,0.32,0.9999657330615825,-3.958109607286951,0.0341796875,-0.1960713432438267,0.08658337859038291,-0.19140960532483106
1.6756854057312012,dt,1,0.024593799124702703,-3.278154073047431,1.8950483642004579,-3.2821787762867505,1.903315287308362,-0.007268201109194406,0.0006006171977711778,0.015901893922256605,-0.000716114552326333,0.32,0.9998735675491266,-3.958109607286951,0.038134765625,-0.19047150789790576,0.08797021937285625,-0.18379593789682996
1.7264232635498047,dt,1,0.02493908764964771,-3.2771527916649887,1.893253738515806,-3.2807514885419247,1.9009647345670406,-0.006432150131422367,0.0006143698010625987,0.023498562054545147,-0.0007653325561047413,0.32,0.9997239214948432,-3.958109607286951,0.04110107421875,-0.18493771534577516,0.08879197723471569,-0.17619531725989926
1.7767293453216553,dt,1,0.02525818019844235,-3.276114850435663,1.8913522939082599,-3.279451199766602,1.8987813253175092,-0.0059530399722116925,0.0006310394133291881,0.0320557863797708,-0.000821511918892908,0.1827570874579698,0.9994862572744125,-0.7015561278859779,0.043325805664062494,-0.10812639864566409,0.15,-0.07224224507973796
1.8284084796905518,dt,1,0.025563103887174605,-3.2750476277807774,1.889371822855607,-3.278219911642266,1.896688135506138,-0.005695847423480919,0.0006780931865297277,0.03745967482070167,-0.0008909321787241005,0.18277179268191965,0.9992984684209378,-0.7015561278859779,0.044994354248046875,-0.09332279745741641,0.15,-0.06677438755253123
1.8793516159057617,dt,1,0.025861234420153055,-3.2739602329371094,1.8873311735560743,-3.277016054420532,1.8946415782291894,-0.005576371976434243,0.0007410133021313915,0.04212343737150981,-0.0009751824742064081,0.18278632096116373,0.9991129391891826,-0.7015561278859779,0.046245765686035153,-0.08624892048607309,0.15,-0.06202372241583598
1.9301996231079102,dt,1,0.02615694885770283,-3.272859758475693,1.885244344118741,-3.275821953441813,1.8926116065653675,-0.005539186634153202,0.0008163255694188117,0.04643352533993106,-0.0010725572469077263,0.18280126054248413,0.9989221575419853,-0.7015561278859779,0.04718432426452636,-0.08043085576268162,0.15,-0.05760922641732508
1.9801993370056152,dt,1,0.026452721196423536,-3.2717513930781386,1.8831219078447683,-3.274627618656975,1.8905812374311441,-0.005549024195425166,0.0009033771787703895,0.05045270961047388,-0.0011820722083795408,0.1828165011284939,0.9987275320005573,-0.7015561278859779,0.04788824319839477,-0.07507777850068126,0.15,-0.05346902659974378
2.030320405960083,dt,1,0.02674984084583288,-3.2706388717181483,1.880971881561499,-3.2734278434038764,1.888541619500876,-0.005583922000861753,0.001001786014230472,0.05420422927432966,-0.0013028386982508592,0.18283186669641216,0.9985313104134397,-0.7015561278859779,0.04841618239879608,-0.07007568110020009,0.15,-0.04958031842556608
2.0803024768829346,dt,1,0.027048879852981482,-3.2695248537056805,1.8788003554587014,-3.2722203177447646,1.8864888258803858,-0.005630545539155572,0.0011111269433743424,0.057705628763013994,-0.0014340113404247982,0.18284720067929403,0.9983354921739889,-0.7015561278859779,0.04881213679909706,-0.06539227418995269,0.15,-0.04592604659676566
2.1309213638305664,dt,1,0.02734998806946822,-3.268411207398167,1.8766119652290945,-3.2710044365758026,1.8844218278931497,-0.0056811086389981095,0.0012309030963980954,0.06097284140610881,-0.0015747944943006623,0.1828623734915891,0.9981417321173859,-0.7015561278859779,0.04910910259932279,-0.06100616810698808,0.15,-0.042490876423210436
2.1826226711273193,dt,1,0.02765308518017037,-3.267299221107657,1.8744102478618663,-3.269780535734136,1.8823411700950692,-0.0057312956218317146,0.0013605509851412373,0.06135894045431067,-0.0017094362085550983,0.32,0.9981181307481888,-3.985678016012514,0.04933182694949209,-0.14648446645071436,0.08868225969528197,-0.1380356295959117
2.2326583862304688,dt,1,0.027957975520898834,-3.266199679758938,1.8721929625389664,-3.2685494241057436,1.880248184596711,-0.00578559521359424,0.0014735673995134643,0.0590125633123062,-0.0018122269794620084,0.32,0.9982592639472193,-3.985678016012514,0.04949887021211907,-0.1574778720440461,0.08864131190524485,-0.14031681902332283
2.2836663722991943,dt,1,0.028264388911151662,-3.2651148923000717,1.8699614546436367,-3.267312162581045,1.878144743796423,-0.00583919462784473,0.001601600532044063,0.05716237575730432,-0.0019325850926235914,0.32,0.9983666762170795,-3.985678016012514,0.0496241526590893,-0.15988951411398739,0.08859787458964066,-0.1420965422788568
2.3344526290893555,dt,1,0.02857204844617299,-3.2640459588838917,1.867717104264585,-3.266069869269143,1.8760327485666208,-0.005891984344249206,0.0017484597215384403,0.05538985357871651,-0.0020719675356216946,0.32,0.9984663742219966,-3.985678016012514,0.04971811449431697,-0.16129277409933934,0.0885545172734163,-0.14378978345329269
2.3851444721221924,dt,1,0.02888069447300473,-3.262993670485185,1.8654610131020948,-3.2648235926183897,1.8739139813510335,-0.005944741883391428,0.0019146915650910686,0.053654654632210086,-0.00223074625314649,0.32,0.998560934302343,-3.985678016012514,0.04978858587073773,-0.16255443630970431,0.08851070616215537,-0.1454364361149412
2.4352190494537354,dt,1,0.029190094358385092,-3.2619586559586886,1.8631940398701483,-3.263574271974761,1.8717900391108575,-0.005998487885186995,0.0021004312415687397,0.051958960925808206,-0.0024091315535393065,0.32,0.9986504368524947,-3.985678016012514,0.0498414394030533,-0.16377107070506336,0.08846542825751769,-0.14703422448341255
2.484938383102417,dt,1,0.02950878271586164,-3.260941430774504,1.8609168578027862,-3.262287445564369,1.8696023341507715,-0.005985157506369552,0.0023134882355048654,0.05003156537860676,-0.0026099152143253114,0.32,0.9987486822860021,-3.985678016012514,0.04988107955228997,-0.16495146690687762,0.08848805134082134,-0.14884971992500226
2.5355424880981445,dt,1,0.029825763520670047,-3.2599424261285117,1.8586300014407402,-3.2610075140524537,1.8674263510542364,-0.005991605288739105,0.0025452967320637107,0.04822180999785264,-0.0028311520510328663,0.32,0.9988375538036312,-3.985678016012514,0.04991080966421747,-0.1660949192354298,0.0884900102799528,-0.15053881041392903
2.585092067718506,dt,1,0.030141576969086863,-3.2589620096711487,1.856333902233656,-3.259769006025237,1.8652387098838918,-0.006009730665593781,0.0027546758694672845,0.04859701234380731,-0.0030433637051425423,0.32,0.9988193975724732,-3.9846767755086185,0.049933107248163106,-0.16708603705119587,0.08849390832598743,-0.15005912842002012
2.6365721225738525,dt,1,0.030456580529049964,-3.258000487592782,1.8540289208466798,-3.2586729196678776,1.8629820615010928,-0.006024411621399395,0.0028263154974533075,0.05695131419636379,-0.0031646459453544156,0.32,0.9983787121908534,-3.9846767755086185,0.04994983043612233,-0.1621905733789349,0.08843753233547874,-0.1416923665555775
2.6864492893218994,dt,1,0.03077100716853705,-3.2570574525025378,1.8517156371276235,-3.257578840762952,1.8607295461085984,-0.006045677462894245,0.002919922766858824,0.06506084286530767,-0.0033068044932175003,0.32,0.9978842898222805,-3.9846767755086185,0.04996237282709175,-0.15678998074094638,0.08836948736277744,-0.1335662751302108
2.7371082305908203,dt,1,0.03108500702273184,-3.2561324070577764,1.8493945947279289,-3.2564862469000886,1.8584800881556447,-0.006072301855729374,0.003034999789731665,0.07290034190235195,-0.003469219559509618,0.32,0.9973439466786214,-3.9846767755086185,0.049971779620318804,-0.15149741390809252,0.08829173923509194,-0.1257065598926861
2.7883517742156982,dt,1,0.03139867495068855,-3.255224841466288,1.8470662832161506,-3.2553948080077317,1.8562330080831457,-0.006103598495650403,0.0031708098302056873,0.08047521259775348,-0.003651206257000387,0.32,0.9967636172823551,-3.9846767755086185,0.049978834715239104,-0.14637779717384955,0.08820553573277781,-0.11810830570660734
2.8382654190063477,dt,1,0.031712069155554995,-3.254334246407044,1.8447311445522776,-3.2543043215622145,1.8539878889306092,-0.006139188521664426,0.003326611918406505,0.08779410245644304,-0.003852092128995016,0.32,0.9961485725780623,-3.9846767755086185,0.04998412603642932,-0.1414331598924833,0.08811175441979555,-0.11076324423845747
2.8884658813476562,dt,1,0.03202522378860227,-3.2534601173846833,1.8423895804514152,-3.253214668730776,1.8517444860423535,-0.006178884579085709,0.003501685078352348,0.09486576045106387,-0.004071225943004223,0.32,0.9955036173692373,-3.9846767755086185,0.04998809452732199,-0.13665845320226486,0.08801103725716013,-0.10366289902165768
2.93939471244812,dt,1,0.03233815744332999,-3.2526019572770455,1.8400419584305494,-3.252125784815477,1.8495026662167384,-0.006222617567157631,0.0036953299071922864,0.1016986831111737,-0.004307978390411996,0.32,0.9948331444667845,-3.9846767755086185,0.049991070895491485,-0.13204796921426148,0.08790386897609098,-0.09679895536670183
2.989328384399414,dt,1,0.03265087886585172,-3.2517592780701667,1.8376886166238164,-3.2510376393833416,1.8472623667976371,-0.006270388118253966,0.0039068683502943785,0.10793884058343739,-0.004559636324279177,0.1795348774126367,0.9941802570250557,-0.6655575396923235,0.04999330317161861,-0.008862961103023356,0.15,0.013536573381531584
3.03987193107605,dt,1,0.03296339075290762,-3.2509176136395985,1.8353348227938344,-3.249950223050794,1.8450235684659204,-0.006297571456894422,0.0041731034416140535,0.10672549851318536,-0.004820195726046019,0.17952490112083086,0.99431023775083,-0.6655575396923235,0.04999497737871396,0.0036483065282083213,0.15,0.012735914439218756
3.090292453765869,dt,1,0.03327575458039979,-3.250075498705251,1.8329811234223485,-3.2488633219062897,1.8427858308154712,-0.006323469665634733,0.004444250943841282,0.10488735249607428,-0.0050818635012321095,0.17951000162573608,0.9945043627046477,-0.6655575396923235,0.04999623303403547,0.0031497173168452616,0.15,0.01132453470559252
3.140259265899658,dt,1,0.033588018979818196,-3.249232997237696,1.830627512368881,-3.247776766731702,1.8405488054560255,-0.006350236825833373,0.0047147080826795045,0.10307464669986555,-0.0053430748214726015,0.17949556091549368,0.9946925101681061,-0.6655575396923235,0.04999717477552661,0.0012330034777711107,0.15,0.009936630060845662
3.1907448768615723,dt,1,0.03390021714846839,-3.2483903387672104,1.8282739200117057,-3.246690442013689,1.8383122545659982,-0.006377968210202711,0.0049841118780503645,0.10135812046699844,-0.005603884273452994,0.17948211765665814,0.9948676618751947,-0.6655575396923235,0.04999788108164495,-0.0007328580894111827,0.15,0.008641694546724761
3.2421936988830566,dt,1,0.034212370905968646,-3.2475477576126632,1.8259202718419225,-3.245604271828709,1.8360760218322159,-0.006406569694019229,0.005252697074750448,0.09974012459032489,-0.005864524696772429,0.17946965203928938,0.9950300759288675,-0.6655575396923235,0.04999841081123371,-0.0025926478345414256,0.15,0.00744251181422079
3.292295455932617,dt,1,0.034527585557817035,-3.2467054748813458,1.823566495762687,-3.2445074509560454,1.8338178612120262,-0.006411496495451678,0.005523413357142447,0.09819890438407874,-0.006125394085899929,0.1794579638546841,0.9951823608406904,-0.6655575396923235,0.04999880810842529,-0.004334868875852445,0.15,0.006322059885692337
3.3428783416748047,dt,1,0.03484197813193838,-3.2458636973187143,1.821212523150829,-3.243413490584963,1.8315655898597978,-0.006423526805029413,0.005793183094563106,0.0967491731857093,-0.006386592799101243,0.17944713509645366,0.9953234483190256,-0.6655575396923235,0.04999910608131897,-0.005964674328106989,0.15,0.005290373040094011
3.3937768936157227,dt,1,0.035155793867516924,-3.245022618068175,1.8188582890745988,-3.2423278914447162,1.8293144166573978,-0.006440030681195459,0.006055460873925538,0.09445572490273868,-0.006635861535052509,0.32,0.9955423736975721,-3.0833782221823673,0.04999932956098922,-0.12123992713380222,0.11528715041964227,-0.10190245538578437
