rel_path,path,seed,samples,dt_est,time_in_dt,real_mean,real_rmse,real_p95,real_max,real_final,dos_mean,dos_rmse,dos_p95,dos_max,fdi_mean,fdi_rmse,fdi_p95,fdi_max
figure8\seed_130515898\log.csv,figure8,seed_130515898,2400,0.05,48.900000000000006,0.3929248516420744,0.6081137707718469,1.3619132305327897,1.7084381800640667,1.284570968511296,0.9661302918819217,1.3410418543883926,2.860635841698838,3.7543197130695356,0.4352376523045838,0.5382271282990759,0.9247057345382617,1.124882906906422
figure8\seed_132272237\log.csv,figure8,seed_132272237,2400,0.05,72.5,0.6443496956356886,0.9929246283876215,2.1194005030045657,2.466307950665976,1.2117985943363148,1.5783984579814994,1.9079613206740014,3.7257687579512555,4.598015237822439,1.0370102935532985,1.1759242779007066,2.0421786613232373,2.497410950660015
figure8\seed_165136855\log.csv,figure8,seed_165136855,2400,0.05,62.900000000000006,0.8436732156076772,1.357105911618592,2.8422156126895706,3.0681474782107876,2.908446778095288,1.6951610666671832,2.0583669362018036,4.292058739884318,4.454977971485452,0.505844751900197,0.6449061960244867,1.1040936633445535,1.3836434301539429
figure8\seed_169875223\log.csv,figure8,seed_169875223,2400,0.05,85.75,0.668577440903656,0.9983197293475237,2.0775445322908634,2.354583620697645,2.2549442534721424,1.6041182822242464,1.9411234731360008,4.1008000854344955,4.209926820823236,1.0774392215615956,1.303085752454414,2.0404989973921994,2.353031549967622
figure8\seed_172398123\log.csv,figure8,seed_172398123,2400,0.05,54.7,0.4989425959728706,0.7959207700245252,1.9047255720961385,2.2518326305877734,1.3032642790240012,1.8962668496338373,2.3035704797435006,4.4741680315296,5.352643488082994,0.8919259445068911,1.014811897869475,1.5149167045397796,1.6732206077807739
figure8\seed_181294867\log.csv,figure8,seed_181294867,2400,0.05,50.050000000000004,0.3744437700262015,0.5750994177076221,1.3227772616274895,1.663692272950188,1.663692272950188,0.8670885883450957,1.2533146399680954,2.7878831211333144,3.686768997024456,0.9155668469149745,1.003679453707102,1.6853287470221459,2.0396493045582282
figure8\seed_223525999\log.csv,figure8,seed_223525999,2400,0.05,54.75,0.3502103743590691,0.5833136589051574,1.50179514283513,1.845522226001222,1.2185226144676335,1.7704228934095538,2.001012697849825,3.5344647719917814,3.5344647719917814,0.6403285991072112,0.8783121235917044,2.1130909938465523,2.53795532234161
figure8\seed_248709580\log.csv,figure8,seed_248709580,2400,0.05,72.60000000000001,0.7245275886257292,1.1730509620390714,2.6217729451774057,2.9684479434427358,1.8863507109433553,1.7902378966371744,2.041758200255064,3.5906781909736916,4.408113857186978,1.5590758020977182,1.654935035618655,2.3187174082854884,2.5399011222724104
figure8\seed_260957515\log.csv,figure8,seed_260957515,2400,0.05,55.150000000000006,0.43362707456871663,0.6846612940772252,1.602000879383918,1.94949712388852,0.26674919044901146,2.0762184159985932,2.380399554430082,4.124158957659755,4.12421184272954,0.796703233004655,0.9765822069167355,1.5212153552615417,1.8091180520208408
figure8\seed_341728468\log.csv,figure8,seed_341728468,2400,0.05,45.900000000000006,0.3322609649331527,0.5192982127764689,1.2461077089781387,1.5307310896307313,0.266151849706366,1.5871622939663235,1.9696489393556806,4.065031415703096,4.065306944202306,0.38505049517193035,0.4837898904022671,0.9319586960612916,1.1681715217716429
