path,seed,s_final,err_real_mean,err_dos_mean,err_fdi_mean,time_in_dt_ratio,tube_violations,dos_windows,fdi_windows
figure8,906691059,0.999,0.8327766383820724,1.8329661519874227,0.7679790871378319,0.5466666666666666,0,4,4
figure8,525367680,0.999,0.3632853575333674,0.8987301328060594,0.30625429035332574,0.32375,0,3,3
figure8,260957515,0.999,0.43362707456871663,2.0762184159985932,0.796703233004655,0.45958333333333334,0,5,4
figure8,169875223,0.999,0.668577440903656,1.6041182822242464,1.0774392215615956,0.7145833333333333,0,7,6
figure8,602803946,0.999,0.749919864721339,1.6944381665099224,1.038274052328066,0.6391666666666667,0,5,6
sharpL,912076881,0.999,0.5180930532247611,3.3692810356643927,2.6397216819584446,0.5591666666666667,239,5,5
sharpL,65665921,0.999,0.28753111670877324,3.331887896663601,2.9257699562284345,0.3875,25,4,3
sharpL,341728468,0.999,0.29897316818854563,2.7010341937258913,0.4883380233695645,0.3825,134,4,3
sharpL,438165226,0.999,0.45062491465499743,4.558098502337861,1.3180962070098614,0.6170833333333333,438,7,3
sharpL,130515898,0.999,0.3889690131924931,2.8786434809046755,2.0864571331707356,0.4075,8,3,5
sCurve,132272237,0.47176566013057364,0.27218093237404617,1.7079430977664867,0.5397470527669067,0.6041666666666666,0,6,5
sCurve,967723062,0.47176566013057364,0.34508071789843825,1.6989748371512887,0.6914588867961293,0.6191666666666666,0,6,5
sCurve,639316533,0.47176566013057364,0.2987572268188954,1.8008172871091574,1.0225548309449743,0.6116666666666667,0,6,5
sCurve,87373493,0.47176566013057364,0.4303865430059683,1.2302809427337833,0.7165652066978022,0.6708333333333333,0,5,6
sCurve,492089786,0.47176566013057364,0.5387287165206969,2.144284855083747,0.7399560173233325,0.63125,0,6,6
