run_id,err_real_mean,err_dos_mean,err_fdi_mean,time_in_dt_ratio,tube_violations
figure8_0_000_885440,0.851205880678153,1.824318876011245,0.754356922895223,0.5466666666666666,0
figure8_0_001_978147,0.6348634678332409,2.453569123484208,0.6384130506636253,0.55625,0
figure8_0_002_821159,0.9866647349459708,1.106893562368987,0.9509038626489651,0.6770833333333334,0
figure8_0_003_429816,0.35532827931891664,1.3955332767391175,0.46664595326234803,0.3620833333333333,0
figure8_0_004_052278,0.9325490704115835,1.8212381251705037,0.9928268937074798,0.6133333333333333,0
figure8_0_005_044044,1.5396444343427544,1.1497249272624268,1.0652969866556643,0.6666666666666666,0
figure8_0_006_163225,1.0352585559975145,1.2231894934041148,0.4413051664453501,0.4925,0
figure8_0_007_211803,0.4911497752320239,1.1409096032181374,1.0990440897925104,0.49666666666666665,0
figure8_0_008_317133,0.40307888971975314,0.9715135260461989,0.7442865951817543,0.49375,0
figure8_0_009_544218,0.8090735291547808,1.715650985995532,0.9909374096893915,0.6245833333333334,0
