run_id,path_name,rng_seed,total_time,dt,n_dos_windows,total_dos_time,mean_error_dt,max_error_dt,final_error_dt,cumulative_error_dt,mean_error_ghost,max_error_ghost,final_error_ghost,cumulative_error_ghost,improvement_percent,tube_violations,time_in_dt_mode,dt_mode_ratio
figure8_run000,figure8,42,120.0,0.05,8,47.6,0.3257524590986632,1.4400620829849076,0.4321159884956119,39.079304692127195,1.8190437796391439,2.8288149321580773,2.454797494374036,218.2236961193379,82.09208927028884,0,47.6,0.39666666666666667
figure8_run001,figure8,43,120.0,0.05,7,49.7,0.27431169105670583,1.3838614496966117,1.2033323736163983,32.88713211746429,1.7095882184231066,2.4909000381658473,2.488632731766288,205.0881828924786,83.96439441140011,0,49.7,0.4141666666666667
figure8_run002,figure8,44,120.0,0.05,8,56.95,0.3979591635146285,1.5043282151057285,1.0318712543979545,47.72911534039547,2.2558683650850417,3.495180383868516,3.4236644682615127,270.6184246984985,82.36294687120011,0,56.95,0.47458333333333336
figure8_run003,figure8,45,120.0,0.05,7,49.150000000000006,0.3502887976558066,1.638396294652356,0.8659037726524655,42.01282062438049,1.1716622314764602,2.561249159749778,2.561249159749778,140.53524904818153,70.1051366764386,0,49.150000000000006,0.40958333333333335
figure8_run004,figure8,46,120.0,0.05,8,53.35,0.2949996756644597,1.2467340818052384,1.0374827705887244,35.373836510470454,1.4316724151952878,2.3765302152409,2.3765302152409,171.7410890680535,79.40281111385444,0,53.35,0.44458333333333333
figure8_run005,figure8,47,120.0,0.05,7,49.0,0.3096717614510175,1.330475453416308,0.30477086981405027,37.152804602376754,2.060072535061166,3.4602323583663113,3.4602323583663113,247.12201089838072,84.96580516348486,0,49.0,0.4083333333333333
figure8_run006,figure8,48,120.0,0.05,7,48.400000000000006,0.3143220299757292,1.4293688491241567,0.8969268590793035,37.696032925610524,1.1211605518945533,2.2781706747634827,2.2781706747634827,134.4821244604773,71.9694843631884,0,48.400000000000006,0.4033333333333333
figure8_run007,figure8,49,120.0,0.05,7,52.25,0.4034758227723345,1.6355577773399566,0.8306276489252822,48.39614554145702,2.290877099869569,3.604464844864812,3.2315120221001234,274.8242766837958,82.39014903434455,0,52.25,0.4354166666666667
figure8_run008,figure8,50,120.0,0.05,7,47.300000000000004,0.40521949970749704,1.7735954831131469,0.6271641156187029,48.610473362009174,1.0804286212496697,2.7784824092247264,2.7784824092247264,129.5817849897297,62.48664627836242,0,47.300000000000004,0.39416666666666667
figure8_run009,figure8,51,120.0,0.05,7,55.25,0.34379454780323354,1.6031933417629318,0.5450021636787092,41.24153318229605,1.9230309291131578,2.964673599484074,2.9305545907023713,230.69026012881136,82.1225511821488,0,55.25,0.46041666666666664
figure8_run010,figure8,52,120.0,0.05,7,51.400000000000006,0.39532110714119023,1.7825922451353502,0.49259262850004554,47.426030541230325,2.231075744834817,3.8071421960293237,3.8071421960293237,267.6337233252773,82.27950127062667,0,51.400000000000006,0.42833333333333334
figure8_run011,figure8,53,120.0,0.05,8,52.85,0.3171153281447961,1.3970606990204386,0.6537192033638877,38.03730889729144,1.8304820447705803,2.9783522165708614,2.141001109058248,219.6041328447432,82.67914706132456,0,52.85,0.4404166666666667
figure8_run012,figure8,54,120.0,0.05,7,50.7,0.31256223077009915,1.3671924230350088,0.8497016394561572,37.4860376514255,1.3191968179751261,2.406855531320394,2.406855531320394,158.24325926873212,76.31113146641786,0,50.7,0.4225
figure8_run013,figure8,55,120.0,0.05,7,47.900000000000006,0.3365135370570664,1.5978692578061355,0.525625706763511,40.36829630417888,2.2188475684807827,3.3923033000589102,3.2229931811576775,266.18094588816496,84.83426521403246,0,47.900000000000006,0.39916666666666667
figure8_run014,figure8,56,120.0,0.05,7,50.550000000000004,0.35691740259601856,1.5123142597358752,0.3540076163717353,42.82105062111294,1.405834679265848,2.5067044978790585,1.7599651858065986,168.6559748822566,74.61041587704942,0,50.550000000000004,0.42125
figure8_run015,figure8,57,120.0,0.05,7,48.95,0.2671929904187941,1.352000356559364,0.6023389973890824,32.04791287532056,1.0476171696196703,1.7698983540290683,1.2186349959105924,125.68340697946266,74.50107882533979,0,48.95,0.40791666666666665
figure8_run016,figure8,58,120.0,0.05,8,50.2,0.3221364933178216,1.3133577237741834,0.2626764988577903,38.64962478566714,2.1182477209803734,3.767397437178648,3.767397437178648,254.09535408171533,84.78932252604757,0,50.2,0.41833333333333333
figure8_run017,figure8,59,120.0,0.05,8,49.7,0.34098042904824394,1.4627508552813242,0.528649359191732,40.904247751809486,2.2715201106103917,3.4044178785730725,3.1124872438206364,272.5044135921515,84.98950999999965,0,49.7,0.4141666666666667
figure8_run018,figure8,60,120.0,0.05,8,52.900000000000006,0.4339447302236341,1.9884224177147114,1.7334367927858159,52.029844207016446,2.2426644326439646,4.343978414639999,4.343978414639999,269.0109449569097,80.65883742561084,0,52.900000000000006,0.44083333333333335
figure8_run019,figure8,61,120.0,0.05,7,52.2,0.3731005238136023,1.676328763967291,0.8871435134306981,44.749696769796515,1.9026918482886692,3.3569137104823676,3.3569137104823676,228.2389114518782,80.393484842206,0,52.2,0.435
figure8_run020,figure8,62,120.0,0.05,8,50.1,0.35132255227177694,1.4052099680824757,1.1301129058102455,42.13026594996798,1.8549464184903892,2.9402962993224384,2.688567778082956,222.52616852439465,81.06727571442933,0,50.1,0.4175
figure8_run021,figure8,63,120.0,0.05,7,46.95,0.30154591108110407,1.4195030524392815,0.28983063689610783,36.17807606381009,1.8617270921218774,3.6370619824542008,3.6370619824542008,223.31613700506392,83.79961405879517,0,46.95,0.39125
figure8_run022,figure8,64,120.0,0.05,7,48.050000000000004,0.33700118347779645,1.640985736556759,1.5584859036533782,40.400992369744245,1.6028457552983542,2.608660670836221,2.608660670836221,192.27608661903162,78.98803065937513,0,48.050000000000004,0.40041666666666664
figure8_run023,figure8,65,120.0,0.05,7,43.800000000000004,0.23618886533778707,1.2166628250339167,0.2837691425577124,28.335382111970503,1.8152414647988826,2.7662541610666387,2.2164034690565777,217.77337818913952,86.98859229370048,0,43.800000000000004,0.365
figure8_run024,figure8,66,120.0,0.05,7,54.550000000000004,0.38165831680405665,1.7919393203176588,1.5382356258730694,45.760354625839966,1.9305070389933212,2.933865919158811,2.844376669626594,231.5895477624579,80.24075133443566,0,54.550000000000004,0.45458333333333334
