run_id,err_real_mean,err_dos_mean,err_fdi_mean,time_in_dt_ratio,tube_violations
freehand_20250908_111328_08_0_000_434860,0.05606308414992398,1.5737744394815851,2.719694563653678,0.5966666666666667,2
freehand_20250908_111328_08_0_001_081637,0.049771578080458456,2.104607632925915,0.9513223156731658,0.5766666666666667,0
freehand_20250908_111328_08_0_002_154182,0.03869149619232438,1.4936161237272747,0.9980130650250315,0.40458333333333335,0
freehand_20250908_111328_08_0_003_179906,0.07339788450572786,3.1010063289904966,0.7945131525094329,0.46958333333333335,14
freehand_20250908_111328_08_0_004_438720,0.04399015981653649,2.115496771129739,0.9022160026010149,0.53375,0
freehand_20250908_111328_08_0_005_943928,0.038289476416546384,1.0606527607615568,0.8287222076140538,0.37833333333333335,0
freehand_20250908_111328_08_0_006_424370,0.0556268011113157,1.6614576072107257,2.490014241902309,0.55,0
freehand_20250908_111328_08_0_007_298464,0.047700943106593376,1.4425044375867737,1.4642110197697793,0.5654166666666667,0
freehand_20250908_111328_08_0_008_793228,0.051079894482558556,2.1705631597689643,0.9208987091122086,0.45208333333333334,13
freehand_20250908_111328_08_0_009_431164,0.05338189684805042,1.9076708842054881,3.1448763252055123,0.7120833333333333,5
