run_id,err_real_mean,err_dos_mean,err_fdi_mean,time_in_dt_ratio,tube_violations
circle_0_000_603332,0.2694011821201507,2.945926404746224,0.5576428102952159,0.6029166666666667,0
circle_0_001_497665,0.2509811702421203,1.953810862800923,0.3014586446109926,0.5116666666666667,0
circle_0_002_546215,0.2596165204901153,2.434922776840573,0.2494134835799741,0.5095833333333334,0
circle_0_003_829131,0.31402929761119897,2.137703720660855,0.5014370388096012,0.58125,0
circle_0_004_124681,0.27135362971649796,2.74342268297822,0.5449556982674918,0.6229166666666667,0
circle_0_005_000478,0.24884762099523547,2.7854703116664337,0.4924125870537622,0.6095833333333334,0
circle_0_006_470613,0.2392867548274531,2.2147518501467545,0.47304346029825534,0.4683333333333333,0
circle_0_007_209489,0.2601817447608851,2.355363969729197,0.6290222766864001,0.5616666666666666,0
circle_0_008_848005,0.24816933070164993,2.253915816517336,0.43016048241740423,0.47583333333333333,0
circle_0_009_912418,0.24495154125195617,2.499392696571686,0.28346743759036164,0.5275,0
