t,mode,fdi_on,fdi_type,fdi_detected,s,x,y,x_ref,y_ref,r_pos,r_th,v_out,w_out,v_main,w_main
2.6226043701171875e-06,main,0,bias,0,0.0,-2.4290704800389022,2.767092471342419,-2.435,2.7625,0.0,0.0,0.15,-1.405449010891351e-13,0.15,-1.405449010891351e-13
0.003993034362792969,main,0,bias,0,0.00033050239031223055,-2.423140960077804,2.7716849426848382,-2.4332211440177804,2.763877741397993,0.0,0.0,0.15,-1.3610400899063447e-13,0.15,-1.3610400899063447e-13
0.05517864227294922,main,0,bias,0,0.0008923564538430378,-2.4172114401167057,2.7762774140272573,-2.430197088848008,2.766219901774582,0.0,0.0,0.15,-1.3299538452168403e-13,0.15,-1.3299538452168403e-13
0.10603713989257812,main,0,bias,0,0.001616156691209492,-2.4112819201556075,2.7808698853696763,-2.4263013942330467,2.7692371554469544,0.0,0.0,0.15,-1.3077493847243371e-13,0.15,-1.3077493847243371e-13
0.1568622589111328,main,0,bias,0,0.002453319247678256,-2.4053524001945092,2.7854623567120953,-2.4217955520203542,2.772726974415608,0.0,0.0,0.15,-1.2944267084288353e-13,0.15,-1.2944267084288353e-13
0.20779967308044434,main,0,bias,0,0.003369835430101281,-2.399422880233411,2.7900548280545143,-2.41686260647535,2.776547589102425,0.0,0.0,0.15,2.3092638912203256e-14,0.15,2.3092638912203256e-14
0.25850701332092285,main,0,bias,0,0.004341899148109643,-2.3934933602723127,2.7946472993969333,-2.411630688611628,2.7805997607811905,0.0,0.0,0.15,2.842170943040401e-14,0.15,2.842170943040401e-14
0.30846238136291504,main,0,bias,0,0.0053528458706237165,-2.3875638403112145,2.7992397707393524,-2.406189491580192,2.7848140212271058,0.0,0.0,0.15,0.027434479956799023,0.15,0.027434479956799023
0.35961341857910156,main,0,bias,0,0.006391009405899846,-2.381640625529861,2.803840371423389,-2.4006018060766072,2.789141738430863,0.0,0.0,0.15,0.027369671421521406,0.15,0.027369671421521406
0.41073131561279297,main,0,bias,0,0.007448225792459635,-2.3757237121393375,2.808449073619131,-2.3949115728170063,2.7935488798770245,0.0,0.0,0.15,0.0273172006094333,0.15,0.0273172006094333
0.4605705738067627,main,0,bias,0,0.008518741449445078,-2.369813099108196,2.8130658531889288,-2.389162592103702,2.7980279776356918,0.0,0.0,0.15,0.12657515759497107,0.15,0.12657515759497107
0.5104861259460449,main,0,bias,0,0.009598588593617157,-2.363931822731105,2.8177199468897767,-2.38336441549671,2.8025472989687863,0.0,0.0,0.15,0.1251095793662927,0.15,0.1251095793662927
0.5603427886962891,main,0,bias,0,0.010684981876289362,-2.358079774819191,2.822410739491956,-2.377561491445305,2.8071325846497333,0.0,0.0,0.15,0.093852413667484,0.15,0.093852413667484
0.610541820526123,main,0,bias,0,0.011775958376497286,-2.3522498033698214,2.827128941787273,-2.3717538375387996,2.8117622710185985,0.0,0.0,0.15,0.08925199338170677,0.15,0.08925199338170677
0.660372257232666,main,0,bias,0,0.01287013533430326,-2.346440945349817,2.831873113843958,-2.365929146464153,2.8164055389035756,0.0,0.0,0.15,-0.011314764563813473,0.15,-0.011314764563813473
