t,s,mode,dos,fdi,x,y,xd,yd,x_dos,y_dos,x_fdi,y_fdi,v_out,w_out,d_perp,r_eff,r,r_ema,alarm
0.0,0.0,main,0,0,-1.6596567760173335,2.999828388008667,-1.66,3.0,-1.6596567760173335,2.999828388008667,-1.6596567760173335,2.999828388008667,0.00767472156750256,-0.19999999596067286,0.0,0.32,0.005014703617165567,0.0013816430296976277,0
0.05,7.652924183952161e-06,main,0,0,-1.6593272418105707,2.9996594808897052,-1.659897032805406,2.9999485164027027,-1.6593272418105707,2.9996594808897052,-1.6593272418105707,2.9996594808897052,0.007406008594724771,-0.1946180992292997,1.2404454212133493e-06,0.32,0.004879523567985849,0.0020812191373552717,0
0.1,2.039457626422162e-05,main,0,0,-1.659007278600008,2.9994915281566636,-1.6597255987054902,2.999862799352745,-1.659007278600008,2.9994915281566636,-1.659007278600008,2.9994915281566636,0.0072272976042142174,-0.1926341824058674,1.8270627991526863e-06,0.32,0.004829393307770143,0.002630853971438246,0
0.15000000000000002,3.6519100910131495e-05,main,0,0,-1.658694181086074,2.9993233130679866,-1.6595086493372435,2.9997543246686216,-1.658694181086074,2.9993233130679866,-1.658694181086074,2.9993233130679866,0.007108484206645069,-0.19291044741324023,1.7747021831011748e-06,0.32,0.004835840342693742,0.0030718512456893456,0
0.2,5.489150777245546e-05,main,0,0,-1.6583861856998545,2.9991539908022924,-1.6592614555656757,2.999630727782838,-1.6583861856998545,2.9991539908022924,-1.6583861856998545,2.9991539908022924,0.00702940075944762,-0.19469626993185932,4.754298552988689e-07,0.32,0.004880079880591625,0.0034334969726698013,0
0.25,7.47562965373663e-05,main,0,0,-1.6580821558870036,2.9989829735929394,-1.658994182361191,2.9994970911805954,-1.6580821558870036,2.9989829735929394,-1.6580821558870036,2.9989829735929394,0.006976561129871416,-0.1974918217378416,-2.7109207356766727e-06,0.32,0.004949602842282184,0.0037367181465922782,0
0.30000000000000004,9.561013275696422e-05,main,0,0,-1.6577813727700244,2.9988098508110235,-1.658713601898032,2.9993568009490157,-1.6577813727700244,2.9988098508110235,-1.6577813727700244,2.9988098508110235,0.006940950398266731,-0.2,-8.293510521741672e-06,0.32,0.0050120297266753105,0.003991780462608885,0
0.35000000000000003,0.00011711716781121414,main,0,0,-1.657483387756903,2.998634348415086,-1.6584242328921017,2.9992121164460506,-1.657483387756903,2.998634348415086,-1.657483387756903,2.998634348415086,0.006916535520754498,-0.2,-1.663656723395609e-05,0.32,0.005011945346771408,0.004195813439441389,0
0.4,0.00013905275367254651,main,0,0,-1.6571879124050728,2.99845632071314,-1.6581290978974736,2.999064548948737,-1.6571879124050728,2.99845632071314,-1.6571879124050728,2.99845632071314,0.00689926216922771,-0.2,-2.7971534173666353e-05,0.32,0.005011885827330703,0.004359027917019252,0
0.45,0.00016126608129221167,main,0,0,-1.656894779797207,2.9982756847294603,-1.6578302259927462,2.998915112996373,-1.656894779797207,2.9982756847294603,-1.656894779797207,2.9982756847294603,0.00688639483021806,-0.2,-4.2396455458039493e-05,0.32,0.005011841586123125,0.004489590650840027,0
