path,n_runs,dt_mean,dt_ci,dos_mean,dos_ci,time_in_dt
circle,40,0.19525575120541067,0.006666036195646428,0.8409101610239779,0.23796807827002983,0.15653124999999998
figure8,40,0.2273583910438454,0.03185231968509579,0.7975015133880798,0.21875656466862872,0.16734374999999999
sCurve,40,0.21367563664822745,0.009829445743279413,0.620642427466828,0.15587025145323047,0.16010416666666666
sharpL,40,0.2351756718062769,0.016176927859770443,1.2374745149517792,0.35615170661070134,0.15383333333333332
