run_id,baseline,err_real_mean,err_dos_mean,time_in_dt_ratio,dos_duty,dos_switches
circle_0_000_885440_healthy,1,0.1758153539197753,0.1758153539197753,0.0,0.0,0
circle_0_000_885440,0,0.22461064277806475,0.6344799305225683,0.21916666666666668,0.21947015951297294,4
circle_0_001_579363_healthy,1,0.1758153539197753,0.1758153539197753,0.0,0.0,0
circle_0_001_579363,0,0.222353136575442,1.377192334578673,0.33166666666666667,0.33234795080872714,6
circle_0_002_578045_healthy,1,0.1758153539197753,0.1758153539197753,0.0,0.0,0
circle_0_002_578045,0,0.2074715564150535,1.9976870739228856,0.3229166666666667,0.322776080147508,6
circle_0_003_550055_healthy,1,0.1758153539197753,0.1758153539197753,0.0,0.0,0
circle_0_003_550055,0,0.21007745278175197,0.8589736250348226,0.26,0.2599700225388175,4
circle_0_004_153467_healthy,1,0.1758153539197753,0.1758153539197753,0.0,0.0,0
circle_0_004_153467,0,0.2051180848671169,1.570589893770537,0.2945833333333333,0.29415117915398253,5
circle_0_005_457251_healthy,1,0.1758153539197753,0.1758153539197753,0.0,0.0,0
circle_0_005_457251,0,0.21289544193122348,1.6521374586521105,0.33125,0.3313932786956754,6
circle_0_006_326574_healthy,1,0.1758153539197753,0.1758153539197753,0.0,0.0,0
circle_0_006_326574,0,0.23185740843661728,1.7960432997718279,0.325,0.3250620593270873,5
circle_0_007_167855_healthy,1,0.1758153539197753,0.1758153539197753,0.0,0.0,0
circle_0_007_167855,0,0.199032188982329,1.6977162649405364,0.27875,0.27910045783420095,5
circle_0_008_663841_healthy,1,0.1758153539197753,0.1758153539197753,0.0,0.0,0
circle_0_008_663841,0,0.2153765521260375,1.5946571673188301,0.32416666666666666,0.32463432307641416,5
circle_0_009_121403_healthy,1,0.1758153539197753,0.1758153539197753,0.0,0.0,0
circle_0_009_121403,0,0.2057734048164143,1.923436210876263,0.2995833333333333,0.29901520816409105,5
circle_0_010_615645_healthy,1,0.1758153539197753,0.1758153539197753,0.0,0.0,0
circle_0_010_615645,0,0.22638425098308446,2.061183180144105,0.41208333333333336,0.4122883706876287,7
circle_0_011_353454_healthy,1,0.1758153539197753,0.1758153539197753,0.0,0.0,0
circle_0_011_353454,0,0.21227224791548957,1.7405944762644185,0.34875,0.3483323887965615,6
circle_0_012_613300_healthy,1,0.1758153539197753,0.1758153539197753,0.0,0.0,0
circle_0_012_613300,0,0.1948979845918404,1.54508787885706,0.26708333333333334,0.26689731626571433,5
circle_0_013_625203_healthy,1,0.1758153539197753,0.1758153539197753,0.0,0.0,0
circle_0_013_625203,0,0.21525993638344668,1.489636573352945,0.2991666666666667,0.2994590820258775,5
circle_0_014_753015_healthy,1,0.1758153539197753,0.1758153539197753,0.0,0.0,0
circle_0_014_753015,0,0.22708455167786032,1.8484968440850302,0.41291666666666665,0.41351737377403747,7
circle_0_015_944912_healthy,1,0.1758153539197753,0.1758153539197753,0.0,0.0,0
circle_0_015_944912,0,0.21882013699429942,0.6006065137480098,0.285,0.28518113435669773,5
circle_0_016_905262_healthy,1,0.1758153539197753,0.1758153539197753,0.0,0.0,0
circle_0_016_905262,0,0.21877213484626112,2.02272470612151,0.3904166666666667,0.390910481857041,7
circle_0_017_682069_healthy,1,0.1758153539197753,0.1758153539197753,0.0,0.0,0
circle_0_017_682069,0,0.18634461176903927,0.16732696462951904,0.14083333333333334,0.1406592910577412,2
circle_0_018_226470_healthy,1,0.1758153539197753,0.1758153539197753,0.0,0.0,0
circle_0_018_226470,0,0.2286368360854533,1.6376908966607062,0.3308333333333333,0.3303027041303778,6
circle_0_019_127274_healthy,1,0.1758153539197753,0.1758153539197753,0.0,0.0,0
circle_0_019_127274,0,0.23088440886409595,1.903838069311248,0.38708333333333333,0.38774875591902114,7
