t,s,attack_dos,attack_fdi,x,y,xd,yd,x_dos,y_dos,x_fdi,y_fdi,mode,v_out,w_out
0.0,0.0,0,0,-3.0650128812078923,2.701342905912146,-3.07,2.7,-3.0650128812078923,2.701342905912146,-3.0650128812078923,2.701342905912146,main,0.10329520828280368,-0.19999994563410092
0.0044786930084228516,0.00013743834503102557,0,0,-3.0601876302777318,2.7025906108999127,-3.0685038643642453,2.7004028717731385,-3.0601876302777318,2.7025906108999127,-3.0601876302777318,2.7025906108999127,main,0.0996791137109763,-0.1957110094011838
0.055040597915649414,0.0003662655439709656,0,0,-3.0554672730464647,2.7037620357025642,-3.066012881759014,2.7010736308641214,-3.0554672730464647,2.7037620357025642,-3.0554672730464647,2.7037620357025642,main,0.09727077353252793,-0.19542576575360113
0.10550832748413086,0.0006558418488584158,0,0,-3.050813788432592,2.704868709469315,-3.062860592425826,2.7019224632578935,-3.050813788432592,2.704868709469315,-3.050813788432592,2.704868709469315,main,0.09566534561180409,-0.19766874285295155
0.1550905704498291,0.0009857761792492628,0,0,-3.046201955160943,2.7059174305887264,-3.0592689709678904,2.7028895967654583,-3.046201955160943,2.7059174305887264,-3.046201955160943,2.7059174305887264,main,0.09459137827896354,-0.2
0.20563125610351562,0.0013424898915161676,0,0,-3.0416152387822,2.7069123090790947,-3.0553858327027688,2.703935228432016,-3.0416152387822,2.7069123090790947,-3.0416152387822,2.7069123090790947,main,0.09386746049538051,-0.2
0.2565903663635254,0.0017187384027159609,0,0,-3.0370420568098795,2.707856470559293,-3.0512900412016513,2.70503812227735,-3.0370420568098795,2.707856470559293,-3.0370420568098795,2.707856470559293,main,0.09339257840459922,-0.2
0.3074932098388672,0.002106252350512851,0,0,-3.0324759963744707,2.708751651410656,-3.047071615648578,2.7061740383947153,-3.0324759963744707,2.708751651410656,-3.0324759963744707,2.708751651410656,main,0.09305967259012327,-0.2
0.3579251766204834,0.0025012583802795914,0,0,-3.027913098684435,2.70959892056932,-3.042771632282665,2.707331915983946,-3.027913098684435,2.70959892056932,-3.027913098684435,2.70959892056932,main,0.0928178869764961,-0.2
0.40799474716186523,0.002901223667389152,0,0,-3.0224004923547705,2.7105656149548856,-3.0383202629910238,2.708049835852034,-3.0224004923547705,2.7105656149548856,-3.0224004923547705,2.7105656149548856,main,0.11193449259445336,-0.2
0.4581291675567627,0.003330117159920803,0,0,-3.016916599154473,2.7114708459544286,-3.0335462123201884,2.7088162829298312,-3.016916599154473,2.7114708459544286,-3.016916599154473,2.7114708459544286,main,0.11116209388960764,-0.19898514029752393
0.5083954334259033,0.0037782467130575035,0,0,-3.0114504816112233,2.712317366793507,-3.028558043390076,2.7096171054940736,-3.0114504816112233,2.712317366793507,-3.0114504816112233,2.712317366793507,main,0.1106255640032926,-0.18621535489925753
0.5594441890716553,0.004239094924217537,0,0,-3.005995761404484,2.713110190232524,-3.023428301974193,2.7104406567274273,-3.005995761404484,2.713110190232524,-3.005995761404484,2.713110190232524,main,0.11024072122272467,-0.1739698360684344
0.6095514297485352,0.00470829721971592,0,0,-3.0005486275583344,2.713853588080971,-3.0182055705208444,2.7112791369901093,-3.0005486275583344,2.713853588080971,-3.0005486275583344,2.713853588080971,main,0.10995254885438757,-0.16225382225810067
0.6611793041229248,0.005182918992893634,0,0,-2.9931095292273375,2.7148074308467143,-3.012927794888063,2.7121585649380218,-2.9931095292273375,2.7148074308467143,-2.9931095292273375,2.7148074308467143,main,0.15,0.15531248064715636
0.7112786769866943,0.005714505814206953,0,0,-2.9856780623121724,2.71581901351205,-3.0070269064945454,2.7132047394139827,-2.9856780623121724,2.71581901351205,-2.9856780623121724,2.71581901351205,main,0.15,0.1489876049242654
0.7626323699951172,0.006285915711948216,0,0,-2.9782543371884675,2.716885927420326,-3.000683961375643,2.7143292865742223,-2.9782543371884675,2.716885927420326,-2.9782543371884675,2.716885927420326,main,0.15,0.14299957097909066
