run_id,baseline,err_real_mean,err_dos_mean,time_in_dt_ratio,dos_duty,dos_switches
figure8_0_000_580076_healthy,1,0.13642855623349542,0.13642855623349542,0.0,0.0,0
figure8_0_000_580076,0,0.3625646655274414,1.8855926907627876,0.40041666666666664,0.40132546925928547,7
figure8_0_001_995027_healthy,1,0.13642855623349542,0.13642855623349542,0.0,0.0,0
figure8_0_001_995027,0,0.33611312578490066,1.1558942016095095,0.33708333333333335,0.33671635470362377,6
figure8_0_002_870500_healthy,1,0.13642855623349542,0.13642855623349542,0.0,0.0,0
figure8_0_002_870500,0,0.3484129347508906,1.0920642740326454,0.40625,0.40717919758307924,7
figure8_0_003_624332_healthy,1,0.13642855623349542,0.13642855623349542,0.0,0.0,0
figure8_0_003_624332,0,0.3426343339268635,2.003279856133863,0.35541666666666666,0.35554392384619043,6
figure8_0_004_420706_healthy,1,0.13642855623349542,0.13642855623349542,0.0,0.0,0
figure8_0_004_420706,0,0.3502778017693814,1.8170857421601159,0.36375,0.3634818051497176,6
figure8_0_005_915561_healthy,1,0.13642855623349542,0.13642855623349542,0.0,0.0,0
figure8_0_005_915561,0,0.43148019740605215,1.3563963677987265,0.46208333333333335,0.46234806842663345,7
figure8_0_006_460610_healthy,1,0.13642855623349542,0.13642855623349542,0.0,0.0,0
figure8_0_006_460610,0,0.32983764766861545,1.4158276826441596,0.28875,0.2887045500809009,5
figure8_0_007_609180_healthy,1,0.13642855623349542,0.13642855623349542,0.0,0.0,0
figure8_0_007_609180,0,0.33526113794680684,1.7696650586137477,0.3541666666666667,0.3541661029764344,7
figure8_0_008_877963_healthy,1,0.13642855623349542,0.13642855623349542,0.0,0.0,0
figure8_0_008_877963,0,0.31106657053168685,1.1400105371827336,0.37041666666666667,0.3702526737901704,6
figure8_0_009_869624_healthy,1,0.13642855623349542,0.13642855623349542,0.0,0.0,0
figure8_0_009_869624,0,0.39406545184791214,1.5634320598184175,0.325,0.3249671949940898,5
figure8_0_010_006752_healthy,1,0.13642855623349542,0.13642855623349542,0.0,0.0,0
figure8_0_010_006752,0,0.3666531735510745,1.7009988160156597,0.31875,0.31915007337496604,5
figure8_0_011_535271_healthy,1,0.13642855623349542,0.13642855623349542,0.0,0.0,0
figure8_0_011_535271,0,0.31073176545013564,1.344119869595231,0.43125,0.43123359843369485,7
figure8_0_012_170956_healthy,1,0.13642855623349542,0.13642855623349542,0.0,0.0,0
figure8_0_012_170956,0,0.2736659537301865,1.466810072525942,0.30291666666666667,0.3030331809698102,5
figure8_0_013_158561_healthy,1,0.13642855623349542,0.13642855623349542,0.0,0.0,0
figure8_0_013_158561,0,0.22153340354462173,1.851970796425622,0.27958333333333335,0.27943477009740925,5
figure8_0_014_592160_healthy,1,0.13642855623349542,0.13642855623349542,0.0,0.0,0
figure8_0_014_592160,0,0.2944946025047687,1.7841070665162928,0.35,0.3495811395058119,6
figure8_0_015_479735_healthy,1,0.13642855623349542,0.13642855623349542,0.0,0.0,0
figure8_0_015_479735,0,0.2612027027206904,1.3317696968478863,0.28041666666666665,0.2806363160547409,5
figure8_0_016_040161_healthy,1,0.13642855623349542,0.13642855623349542,0.0,0.0,0
figure8_0_016_040161,0,0.13094779564889866,1.0755450593781963,0.15958333333333333,0.15972298441815252,3
figure8_0_017_346720_healthy,1,0.13642855623349542,0.13642855623349542,0.0,0.0,0
figure8_0_017_346720,0,0.2654339194546851,0.9303737637150019,0.26916666666666667,0.2694718518306365,5
figure8_0_018_066361_healthy,1,0.13642855623349542,0.13642855623349542,0.0,0.0,0
figure8_0_018_066361,0,0.34875460061557784,1.3654530401314973,0.29333333333333333,0.2929011745182679,5
figure8_0_019_590647_healthy,1,0.13642855623349542,0.13642855623349542,0.0,0.0,0
figure8_0_019_590647,0,0.3506327327027174,1.1210927589452493,0.34541666666666665,0.3455311245652762,6
