run_id,err_real_mean,err_dos_mean,err_fdi_mean,time_in_dt_ratio,tube_violations
sCurve_0_000_003389,0.3106028609887512,1.58569825842819,0.8039590247960007,0.62125,0
sCurve_0_001_995027,0.3683928852778963,2.520696550211919,2.087550323896091,0.5925,0
sCurve_0_002_913622,0.3038732165118906,2.0103006850665874,0.973089972276825,0.46625,0
sCurve_0_003_283459,0.2841932609067266,2.1969316029820583,1.3045907823270249,0.5179166666666667,0
sCurve_0_004_738319,0.44253558063203485,3.0977765317369714,0.9456388096880569,0.7270833333333333,0
sCurve_0_005_642521,0.2774934524252622,1.7151673316205642,0.5446420564483089,0.6145833333333334,0
sCurve_0_006_343812,0.7950038201289438,2.8065024758529042,0.7356167682357773,0.6320833333333333,0
sCurve_0_007_360890,0.5130410903823451,2.5131584454119458,0.7566508506464004,0.635,0
sCurve_0_008_177045,0.20086551704140376,0.31742447658639134,0.5070160995345141,0.4170833333333333,0
sCurve_0_009_988913,0.25483684517678024,1.2232926260372035,0.49280970764911813,0.40625,0
