t,s,attack_dos,x,y,xd,yd,x_dos,y_dos,mode,v_out,w_out
0.0,0.0,0,1.199990178433444,0.007499993569119269,1.2,0.0,1.199990178433444,0.007499993569119269,main,0.15,0.19999988000010632
0.05,0.00029841364919722997,0,1.1999053587172606,0.014999513928165346,1.1999970535493303,0.002249983334981723,1.1999053587172606,0.014999513928165346,main,0.15,0.1919380499108295
0.1,0.0008057172090568227,0,1.199748571846143,0.02249787494088307,1.1999843652891693,0.0060749375775537235,1.199748571846143,0.02249787494088307,main,0.15,0.18559555648892292
0.15000000000000002,0.0014592481497113243,0,1.1995222096002045,0.02999445817150312,1.19994853213015,0.011002308253798505,1.1995222096002045,0.02999445817150312,main,0.15,0.18047095139429634
0.2,0.0022151414069220775,0,1.199228211712517,0.037488693638983134,1.1998828863856335,0.016701220875709535,1.199228211712517,0.037488693638983134,main,0.15,0.17621517560245864
0.25,0.0030426923858892585,0,1.1988681961895684,0.04498004791062427,1.1997798493219072,0.0229399458567502,1.1988681961895684,0.04498004791062427,main,0.15,0.1725904819338153
0.30000000000000004,0.003920439096382358,0,1.1984435480516318,0.052468016524270224,1.1996349605717633,0.02955640056014285,1.1984435480516318,0.052468016524270224,main,0.15,0.16943111604407105
0.35000000000000003,0.0048333119601896785,0,1.197955481166318,0.059952119056669154,1.199445700346323,0.036436682446100516,1.197955481166318,0.059952119056669154,main,0.15,0.16662071849266624
0.4,0.005770839840332978,0,1.1974050816125161,0.06743189581344304,1.1992107053704182,0.043501554393446655,1.1974050816125161,0.06743189581344304,main,0.15,0.1640779538323366
0.45,0.00672559667456668,0,1.1967933379457,0.07490690549143748,1.198928228372036,0.050694692493848934,1.1967933379457,0.07490690549143748,main,0.15,0.1617460952454606
0.5,0.007692428253649568,0,1.1961211622617793,0.08237672341759511,1.1985976091933501,0.05797691400446382,1.1961211622617793,0.08237672341759511,main,0.15,0.1595845788695217
0.55,0.00866783711224699,0,1.195389405220889,0.08984094016371841,1.198220126689239,0.06532161326979734,1.195389405220889,0.08984094016371841,main,0.15,0.15756296505000472
0.6000000000000001,0.009649178900315115,0,1.1945988672903782,0.09729916044609299,1.1977947343416797,0.07270850147211462,1.1945988672903782,0.09729916044609299,main,0.15,0.15566064421352294
0.65,0.010634844817588274,0,1.193750306320748,0.10475100211650039,1.1973209670872356,0.0801251145623392,1.193750306320748,0.10475100211650039,main,0.15,0.153863499101113
0.7000000000000001,0.01162343171286602,0,1.1928444427057954,0.11219609520598589,1.1968007839724264,0.08756069450690207,1.1928444427057954,0.11219609520598589,main,0.15,0.15215669188161512
0.75,0.012614088063059855,0,1.1918819648156482,0.11963408124462417,1.1962322106037158,0.09500837940643292,1.1918819648156482,0.11963408124462417,main,0.15,0.15053401972615027
0.8,0.013606441177503849,0,1.1908635312198839,0.12706461238385092,1.1956164197967394,0.10246514538090477,1.1908635312198839,0.12706461238385092,main,0.15,0.14898843001040438
0.8500000000000001,0.014599813828509431,0,1.189789773235935,0.13448735067857112,1.1949544369806044,0.10992567127767221,1.189789773235935,0.13448735067857112,main,0.15,0.14751195224561856
0.9,0.015593930444221468,0,1.1886612978232947,0.14190196754278375,1.194243619947543,0.11738733770782883,1.1886612978232947,0.14190196754278375,main,0.15,0.1461035456386741
0.9500000000000001,0.016588901675499566,0,1.1874786879124997,0.14930814292545525,1.1934867577322112,0.12485094975658267,1.1874786879124997,0.14930814292545525,main,0.15,0.14475760547611696
1.0,0.017584230754522985,0,1.1862425044355351,0.15670556480143877,1.1926826732791864,0.13231233582080534,1.1862425044355351,0.15670556480143877,main,0.15,0.1434706217341558
1.05,0.018580205453211023,0,1.184953287584488,0.16409392861969896,1.191830944340211,0.13977333300627803,1.184953287584488,0.16409392861969896,main,0.15,0.1422421483916468
1.1,0.01957633911756528,0,1.1836115569447896,0.17147293660793794,1.1909336353676396,0.14723019401143816,1.1836115569447896,0.17147293660793794,main,0.15,0.14106507595784967
1.1500000000000001,0.020572622872538436,0,1.1822178140948374,0.17884229756179323,1.1899878810206428,0.15468220623095014,1.1822178140948374,0.17884229756179323,main,0.15,0.13994087499181615
1.2000000000000002,0.021569503156098548,0,1.1807725420423567,0.18620172611938643,1.1889958373458964,0.16213273385256513,1.1807725420423567,0.18620172611938643,main,0.15,0.13886692329835093
1.25,0.022566422744767625,0,1.1792762061785884,0.19355094233492948,1.1879572390143494,0.16957721396738257,1.1792762061785884,0.19355094233492948,main,0.15,0.13783905430349544
1.3,0.023563928326331692,0,1.1777292558022394,0.20088967141652894,1.1868705529898231,0.17701929216372836,1.1777292558022394,0.20088967141652894,main,0.15,0.1368597964123043
1.35,0.024561405683668144,0,1.176132123188419,0.2082176429922019,1.1857385346554887,0.1844543950063654,1.176132123188419,0.2082176429922019,main,0.15,0.13592120464636576
1.4000000000000001,0.02555890904916453,0,1.174485226504535,0.2155345912161961,1.1845585974291426,0.19188224218965982,1.174485226504535,0.2155345912161961,main,0.15,0.13502516300854356
