run_id,err_real_mean,err_dos_mean,err_fdi_mean,time_in_dt_ratio,tube_violations
sharpL_0_000_885775,0.921473212753323,3.9552671592689923,1.765241789750225,0.6,187
sharpL_0_001_705771,0.35040572985861074,3.7209494409490627,1.4909979379191631,0.51375,224
sharpL_0_002_954200,0.22989966103200857,4.086719918421454,1.6667678801142733,0.6545833333333333,814
sharpL_0_003_793213,0.5425414118862742,3.789700127145268,1.755383091657844,0.6308333333333334,283
sharpL_0_004_417442,0.3977920708661058,4.2474380996551755,2.277390471939543,0.6591666666666667,536
sharpL_0_005_289276,0.49405198892831237,3.9401326488921784,1.987765278724963,0.5554166666666667,411
sharpL_0_006_451493,0.31628389665352075,3.5602458588522876,2.8781228560479093,0.5075,228
sharpL_0_007_112002,0.34759715676708564,3.1816992018478607,0.989508141113278,0.475,326
sharpL_0_008_514095,0.3336584543098169,2.084877705890627,1.8021274241033447,0.5179166666666667,433
sharpL_0_009_152543,0.4158401278895107,5.070237718270694,1.309462528762158,0.6075,733
