path,n_runs,dt_mean,dt_ci,dos_mean,dos_ci,time_in_dt
circle,20,0.21469614849104604,0.005440136205694673,1.5060049681281804,0.23151388491356384,0.31306249999999997
figure8,20,0.31828822585419536,0.028663179150441965,1.4585744705426644,0.1404791405891156,0.33468749999999997
sCurve,20,0.23723515283569388,0.013122174789368947,1.0511687344728948,0.15743809866629666,0.3202083333333333
sharpL,20,0.281951547737871,0.01376751694354712,2.2865492340288758,0.2751104605115384,0.30766666666666664
