t,s,attack_dos,x,y,xd,yd,x_dos,y_dos,mode,v_out,w_out,d_hat
0.0,0.0,0,0.005303307539881161,0.005303294177908636,0.0,0.0,0.005303307539881161,0.005303294177908636,main,0.15,-0.0003571494299840328,1.9
0.05,0.0006150343530062987,0,0.010606709782341368,0.01060649365130845,0.002651656804626531,0.0026516439729580995,0.010606709782341368,0.01060649365130845,main,0.15,-0.0010640213642455448,1.8997750031606158
0.1,0.001537585881680196,0,0.015910394153173114,0.015909410970538974,0.00662919980478133,0.00662905213065949,0.015910394153173114,0.015909410970538974,main,0.15,-0.0017596533689527845,1.8994375138308794
0.15000000000000002,0.0026138960179825288,0,0.021214545068292786,0.02121186163694174,0.011269872988610296,0.011269155448741974,0.021214545068292786,0.02121186163694174,main,0.15,-0.0038868343158065567,1.8990437807834173
0.2,0.003767085423873263,0,0.026519726370600925,0.026513281385428,0.016242441278959293,0.016240275954356495,0.026519726370600925,0.026513281385428,main,0.15,-0.005237190504763175,1.8986219266460673
0.25,0.004958714456362859,0,0.0318262957182624,0.03181331173991275,0.02138139503130083,0.021376466847410906,0.0318262957182624,0.03181331173991275,main,0.15,-0.006564335272596539,1.8981860121932697
0.30000000000000004,0.0061695633006963535,0,0.03713460433887433,0.03711160010393533,0.026604087624435807,0.026594646337718558,0.03713460433887433,0.03711160010393533,main,0.15,-0.007869665383274237,1.8977430676748253
0.35000000000000003,0.0073900220380846305,0,0.04244499733631865,0.04240779932721747,0.03186934798762858,0.03185312074897385,0.04244499733631865,0.04240779932721747,main,0.15,-0.009876257894690007,1.8972966081797957
0.4,0.008615285724474061,0,0.04775800501765344,0.04770137556432576,0.03715668050718521,0.0371309528853181,0.04775800501765344,0.04770137556432576,main,0.15,-0.011110364533881837,1.8968483912599015
0.45,0.009842951934091185,0,0.053073952557122696,0.052991999512180185,0.04245590779200755,0.04241760345657003,0.053073952557122696,0.052991999512180185,main,0.15,-0.01232746304621718,1.8963992956541087
0.5,0.011071819420643404,0,0.058393160085139534,0.058279345847903716,0.047762162809576555,0.047707579581040646,0.058393160085139534,0.058279345847903716,main,0.15,-0.014259160028712727,1.895949760654845
0.55,0.012301287779685924,0,0.06371613591681266,0.06356289846857703,0.053073018708668734,0.052998129045230734,0.06371613591681266,0.06356289846857703,main,0.15,-0.015415494082168761,1.8955000058717555
0.6000000000000001,0.013531056559983785,0,0.06904318259561741,0.06884234670507251,0.05838737688902229,0.058287757295224764,0.06904318259561741,0.06884234670507251,main,0.15,-0.01729547696718365,1.8950501408470315
0.65,0.014760975661246374,0,0.07437479281074913,0.07411718627741053,0.06370495904730444,0.06357544442967558,0.07437479281074913,0.07411718627741053,main,0.15,-0.018399070450304582,1.8946002200882255
0.7000000000000001,0.015990970813079108,0,0.07971125337633234,0.07938711878475589,0.06902551805048099,0.06886079414362267,0.07971125337633234,0.07938711878475589,main,0.15,-0.019494217019821968,1.8941502706649032
0.75,0.017221003685144457,0,0.08505284806651911,0.08465184728352661,0.07434918799580069,0.07414333684953749,0.08505284806651911,0.08465184728352661,main,0.15,-0.021332151944147275,1.8937003053825445
0.8,0.01845105567897965,0,0.09040005511661815,0.08991087540318628,0.07967616569570043,0.07942270956005146,0.09040005511661815,0.08991087540318628,main,0.15,-0.022384401157001247,1.8932503299340973
0.8500000000000001,0.01968111964733696,0,0.0957531448261461,0.09516391552884172,0.08500651845116013,0.08469877836960933,0.0957531448261461,0.09516391552884172,main,0.15,-0.02343276335821667,1.8928003470090513
0.9,0.020911188443185992,0,0.10111238552238565,0.10041068016619395,0.09034063598396827,0.08997108278271401,0.10111238552238565,0.10041068016619395,main,0.15,-0.025246465914550865,1.8923503563538389
0.9500000000000001,0.022141263903973814,0,0.10647824506022764,0.10565067553071004,0.0956786259649118,0.0952395242704202,0.10647824506022764,0.10565067553071004,main,0.15,-0.026261135767740636,1.8919003577863904
1.0,0.023371340473570694,0,0.11185098038188983,0.11088362070177418,0.10102068959864352,0.10050384474548558,0.11185098038188983,0.11088362070177418,main,0.15,-0.028056406616122596,1.891450348659439
1.05,0.024601418382940977,0,0.11723105129650511,0.11610902374400074,0.10636724532524061,0.10576361450582403,0.11723105129650511,0.11610902374400074,main,0.15,-0.029044261919454358,1.8910003257202619
1.1,0.0258315051756441,0,0.12261870493410652,0.12132660826954897,0.11171832202626443,0.11101886199503763,0.12261870493410652,0.12132660826954897,main,0.15,-0.030035727835315672,1.8905502879071867
1.1500000000000001,0.02706159152815847,0,0.12801418819064642,0.1265360958094513,0.11707434382257445,0.11626906557809219,0.12801418819064642,0.1265360958094513,main,0.15,-0.03183656034720834,1.8901002302185808
1.2000000000000002,0.028291690027936404,0,0.13341795721605587,0.1317369880713642,0.12243548980517738,0.12151414244254222,0.13341795721605587,0.1317369880713642,main,0.15,-0.03280938393820773,1.8896501510532902
1.25,0.029521786987513225,0,0.13883025087004502,0.1369290086224588,0.12780190497411512,0.12675381462348984,0.13883025087004502,0.1369290086224588,main,0.15,-0.0346113219969921,1.8892000433377683
1.3,0.03075188496181091,0,0.14425152154977852,0.14211165507162565,0.13317407370388204,0.13198759641102226,0.14425152154977852,0.14211165507162565,main,0.15,-0.035571787876650766,1.8887498996231018
1.35,0.03198200391124506,0,0.1496820014498906,0.1472846511140056,0.13855201655748595,0.13721562828150696,0.1496820014498906,0.1472846511140056,main,0.15,-0.03654279015613038,1.8882997191451125
1.4000000000000001,0.033212119849541824,0,0.1551219240655266,0.1524477162826716,0.14393623169980674,0.14243717379760482,0.1551219240655266,0.1524477162826716,main,0.15,-0.038378857652645544,1.8878494917088164
1.4500000000000002,0.034442262494695744,0,0.16057174428641593,0.15760033305087645,0.1493268298444862,0.14765236351420644,0.16057174428641593,0.15760033305087645,main,0.15,-0.039344950482255135,1.8873992157431296
1.5,0.03567239950451474,0,0.16603169042777716,0.16274221871018807,0.1547240595373044,0.15286064032334368,0.16603169042777716,0.16274221871018807,main,0.15,-0.04120108284611862,1.8869488777324148
1.55,0.0369025712988851,0,0.17150221753897935,0.1678728456821674,0.16012839338843085,0.1580618509913823,0.17150221753897935,0.1678728456821674,main,0.15,-0.0421681980915478,1.8864984764843986
1.6,0.03813273454341953,0,0.1769835499475762,0.17299192714532716,0.16553972936444233,0.16325570091367178,0.1769835499475762,0.17299192714532716,main,0.15,-0.044052654559968506,1.8860479947059563
1.6500000000000001,0.03936289782314083,0,0.18247614450683786,0.1780989228382536,0.17095871273971208,0.16844157170963597,0.18247614450683786,0.1780989228382536,main,0.15,-0.04502654949088921,1.8855974155609307
1.7000000000000002,0.040593116100555604,0,0.18798022265656858,0.1831935399702525,0.17638539778204107,0.17361986837746846,0.18798022265656858,0.1831935399702525,main,0.15,-0.04602049184572047,1.8851467419349721
1.75,0.041823322439609574,0,0.1934960090640096,0.1882754786069825,0.18182034718351325,0.1787893846845127,0.1934960090640096,0.1882754786069825,main,0.15,-0.04797991658519302,1.8846959515299004
1.8,0.04305359320521286,0,0.19902397113718368,0.19334417028408704,0.18726359234974205,0.1839507360386851,0.19902397113718368,0.19334417028408704,main,0.15,-0.048987539363338675,1.8842450452417265
1.85,0.04428384505811593,0,0.20456433175224548,0.1983993067070802,0.1927155639381403,0.18910270069499338,0.20456433175224548,0.1983993067070802,main,0.15,-0.05099454532423942,1.8837939947716449
1.9000000000000001,0.045514175748838676,0,0.21011756356327896,0.20344030030486682,0.19817654665523127,0.1942458138416164,0.21011756356327896,0.20344030030486682,main,0.15,-0.052021584948525754,1.8833428021767114
1.9500000000000002,0.0467444806790885,0,0.21568388859786214,0.2084668324702242,0.20364676210605087,0.19937887620786082,0.21568388859786214,0.2084668324702242,main,0.15,-0.05408488386630725,1.8828914328208697
2.0,0.04797488207796852,0,0.2212637862332198,0.21347829357243084,0.20912670435855701,0.20450241443710318,0.2212637862332198,0.21347829357243084,main,0.15,-0.05513707139116868,1.8824398905425053
